B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,22,17,2,2,3,5,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,6,6,71,35,MON200005130
1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,20,29,21,1,1,4,4,0,0,0,0,6,0,4,1,0,1,1,1,0,0,0,5,8,82,45,MON200005190
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,19,28,26,4,4,8,12,1,0,1,0,2,0,5,0,0,0,0,0,0,0,0,7,6,77,46,SFN200005250
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,19,25,23,3,2,4,7,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,5,10,68,40,CIN200005300
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,29,24,0,0,2,3,1,0,0,0,3,0,6,1,0,2,0,0,0,0,0,6,9,78,51,MON200006040
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,27,25,1,1,4,6,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,10,7,83,51,TOR200006100
1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,10,17,13,6,6,4,6,2,0,0,0,2,0,3,0,2,0,0,0,0,0,0,4,2,62,34,CHN200006160
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,14,11,6,6,4,9,2,0,1,1,3,0,3,0,0,0,0,0,0,0,0,2,2,52,28,MON200006210
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,16,21,16,1,1,2,5,0,0,1,0,3,0,3,0,0,2,0,0,0,0,0,7,4,71,47,MON200006270
1,4,3,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,19,28,23,1,1,5,5,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,9,8,77,43,ATL200007030
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,15,14,4,4,4,8,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,7,1,52,32,MON200007080
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,28,24,7,5,10,18,5,0,1,0,3,0,1,2,0,0,1,1,0,0,0,4,9,75,41,TBA200007140
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,13,20,18,4,4,5,11,0,0,2,0,1,1,3,0,0,1,0,0,0,0,0,6,3,71,43,SLN200009070
1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,21,25,23,0,0,2,3,1,0,0,0,2,1,3,0,0,0,0,1,0,0,0,8,10,60,38,PHI200009120
1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,21,26,23,0,0,3,3,0,0,0,0,2,0,7,1,1,0,0,0,0,0,0,10,3,111,62,MON200009170
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,20,29,24,4,4,6,13,1,0,2,0,5,0,4,1,0,0,0,0,0,0,0,5,9,93,52,MON200009220
1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,13,20,15,5,5,4,7,1,1,0,0,4,0,6,0,0,0,1,0,0,0,0,4,2,74,39,FLO200009270
