B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,29,24,3,0,7,7,0,0,0,0,5,0,7,2,0,0,0,0,0,0,0,7,2,113,67,ANA200004040
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,28,23,7,1,7,11,1,0,1,0,3,0,4,0,0,1,1,0,0,0,0,3,8,107,60,SEA200004090
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,28,23,5,5,7,10,0,0,1,0,4,0,3,1,1,0,0,1,0,0,0,7,6,90,46,NYA200004140
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,27,24,2,2,4,8,1,0,1,0,2,0,5,1,1,0,0,0,0,0,0,8,7,72,41,TEX200004190
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,29,24,5,5,5,7,2,0,0,0,4,0,9,0,0,0,1,0,0,0,0,5,5,107,66,NYA200004240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,31,28,1,1,7,8,1,0,0,0,2,0,8,0,1,0,0,0,0,0,0,4,9,107,62,NYA200004300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,27,25,1,1,4,7,3,0,0,0,2,0,5,0,0,0,0,0,0,0,0,9,7,78,48,NYA200005060
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,28,23,6,6,10,16,1,1,1,0,5,0,3,0,0,0,0,1,0,0,0,3,6,92,55,DET200005120
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,26,25,2,2,4,11,1,0,2,0,0,0,9,0,1,0,0,0,0,0,0,7,5,81,55,NYA200005170
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,20,19,6,6,7,16,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,3,4,67,45,CHA200005230
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,30,30,2,2,5,10,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,6,5,116,72,NYA200005280
1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,15,27,23,6,4,6,11,2,0,1,0,4,0,7,0,0,0,0,0,0,0,0,4,4,106,61,ATL200006030
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,30,27,9,8,10,18,2,0,2,1,3,0,4,0,0,0,0,0,1,0,0,8,3,118,70,NYA200006090
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,4,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,20,9,NYA200006140
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,27,24,1,1,3,3,0,0,0,0,2,0,5,1,1,0,0,0,0,0,0,6,10,64,39,TBA200007020
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,30,28,2,2,7,8,1,0,0,0,1,0,4,1,1,0,0,0,0,0,0,7,10,82,50,NYA200007082
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,30,27,2,2,7,13,3,0,1,0,3,0,4,1,0,0,0,0,0,0,0,10,6,108,72,NYA200007140
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,29,29,1,1,6,9,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,4,8,104,69,NYA200007190
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,29,23,3,3,6,7,1,0,0,0,5,0,6,1,1,0,0,0,0,0,0,7,4,114,67,BAL200007240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,29,24,0,0,3,3,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,8,90,52,MIN200007290
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,30,28,2,2,5,5,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,5,7,120,78,NYA200008030
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,30,26,3,3,5,12,1,0,2,0,4,0,4,0,0,0,0,0,0,0,0,9,8,106,66,NYA200008080
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,27,24,1,1,4,5,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,4,14,72,42,ANA200008130
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,34,31,5,5,9,12,0,0,1,0,3,0,4,2,0,0,0,0,0,0,0,8,10,113,74,NYA200008180
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,27,23,4,4,6,15,3,0,2,0,4,0,9,0,0,0,0,0,0,0,0,2,6,105,59,NYA200008230
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,30,26,0,0,5,5,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,5,9,99,55,SEA200008280
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,28,27,1,1,3,6,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,8,7,79,50,NYA200009030
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,30,28,0,0,5,8,1,1,0,0,2,0,7,1,0,0,0,0,0,0,0,9,7,104,66,BOS200009080
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,28,27,1,1,8,9,1,0,0,0,1,0,5,2,0,0,0,0,0,0,0,5,9,78,50,NYA200009130
