B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,27,24,3,3,5,9,1,0,1,0,1,0,3,1,1,0,1,1,0,0,0,12,5,86,54,TOR200004040
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,24,21,6,6,7,14,2,1,1,0,3,0,3,0,0,0,0,0,0,0,0,5,6,80,49,TEX200004090
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,23,21,5,5,9,16,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,4,7,78,47,TOR200004150
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,27,24,7,7,11,14,3,0,0,0,2,0,4,1,0,0,1,1,0,0,0,4,5,88,50,TOR200004200
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,23,18,9,9,8,12,1,0,1,0,5,0,2,2,0,0,0,1,0,0,0,5,3,75,42,OAK200004250
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,27,23,6,6,8,15,2,1,1,0,3,0,3,0,0,1,0,0,0,0,0,8,4,95,59,NYA200004300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,26,20,8,8,9,16,4,0,1,0,6,0,4,0,0,0,0,0,0,0,0,1,5,94,49,TOR200005050
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,7,3,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,7,TOR200005150
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,30,28,4,4,6,9,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,7,9,93,59,TOR200006240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,16,12,7,7,4,9,2,0,1,0,4,0,1,0,0,0,0,0,0,0,0,3,4,64,30,BAL200006300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,22,18,6,6,6,6,0,0,0,0,3,0,5,0,0,0,1,2,0,0,0,5,3,76,44,CLE200007050
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,26,23,3,3,5,10,0,1,1,0,3,0,6,0,0,0,0,0,1,0,0,4,8,95,54,TOR200007160
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,18,17,5,5,8,16,2,0,2,0,1,0,2,1,0,0,0,0,0,0,0,6,1,68,43,TOR200007210
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,4,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,17,7,TOR200007250
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,14,10,1,1,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,3,3,4,4,48,27,SEA200007280
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,8,SEA200007290
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,1,21,12,NYA200009120
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,15,14,6,6,6,13,1,0,2,0,1,0,3,1,0,0,0,1,0,0,0,4,1,60,35,TOR200009230
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,8,7,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,32,16,BAL200009280
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,26,24,1,1,5,7,2,0,0,0,2,0,8,0,0,0,0,0,0,0,0,7,3,93,61,BOS200107260
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,28,26,5,5,8,15,1,0,2,0,2,0,4,0,0,0,0,0,0,0,0,12,2,81,58,ANA200108120
