B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,25,22,0,0,1,2,1,0,0,0,3,0,8,0,0,0,0,0,0,0,0,8,5,97,58,OAK200004040
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,27,20,4,4,5,8,1,1,0,0,6,0,2,0,1,0,0,0,0,0,0,9,4,104,48,OAK200004100
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,15,9,7,7,6,11,3,1,0,0,4,0,1,0,0,1,1,0,0,0,0,1,2,55,29,BOS200004150
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,12,11,4,4,5,12,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,2,54,29,CLE200004200
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,24,21,1,1,2,5,0,0,1,0,2,0,8,1,1,0,0,0,0,0,0,7,4,92,57,OAK200004250
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,30,29,2,2,6,8,2,0,0,0,1,0,10,0,0,0,0,0,0,0,0,9,4,99,66,MIN200004300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,30,25,6,4,9,13,1,0,1,0,4,1,3,2,0,0,1,1,0,0,0,9,4,107,65,TEX200005060
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,30,27,6,6,7,17,1,0,3,0,3,1,7,1,0,0,0,0,0,0,0,11,2,107,62,OAK200005110
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,27,21,4,3,6,8,2,0,0,0,6,0,7,1,0,0,0,0,0,0,0,7,0,97,57,OAK200005160
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,28,24,0,0,4,4,0,0,0,0,4,0,6,2,0,0,0,0,0,0,0,9,4,98,54,OAK200005210
