B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,21,29,25,1,1,5,6,1,0,0,0,2,0,2,1,0,1,1,0,0,0,0,8,9,69,43,NYN200003290
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,25,21,5,4,7,17,4,0,2,0,2,0,6,0,0,2,0,0,0,0,0,2,4,91,56,SLN200004050
1,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,24,31,29,3,3,7,15,2,0,2,0,0,0,4,0,0,2,0,0,0,0,0,12,6,74,51,CHN200004100
1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,24,34,31,5,5,7,9,2,0,0,0,2,0,8,0,0,1,0,0,0,0,0,7,8,82,60,CHN200004160
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,21,31,28,3,3,9,10,1,0,0,0,2,1,2,2,1,0,0,0,0,0,0,14,3,90,56,NYN200004221
1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,27,35,34,3,1,5,9,1,0,1,0,0,0,7,0,1,0,0,1,0,0,0,12,8,101,67,HOU200004270
1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,33,29,3,3,6,10,1,0,1,0,4,1,7,0,0,0,0,1,0,0,0,10,6,102,71,CHN200005030
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,26,23,7,7,10,19,3,0,2,0,1,0,6,0,1,0,1,0,0,0,0,7,1,107,65,CHN200005080
1,4,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,35,35,1,1,8,10,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,17,5,95,67,MON200005130
1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,28,25,5,4,6,10,1,0,1,0,3,0,4,1,0,0,0,0,0,0,0,7,8,77,50,CHN200005200
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,21,31,27,5,3,7,11,1,0,1,0,3,0,7,0,0,0,1,0,1,0,0,8,5,96,60,COL200005250
1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,24,27,26,1,1,2,5,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,6,6,102,70,CHN200005290
1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,33,33,2,2,5,8,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,13,4,101,73,CHN200006040
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,33,32,5,5,11,20,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,12,9,100,63,CHA200006090
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,21,27,24,3,3,6,7,1,0,0,0,2,0,3,2,0,0,1,0,0,0,0,11,5,92,62,CHN200006180
1,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,21,36,31,6,6,12,16,1,0,1,0,4,0,6,0,0,0,1,0,0,0,0,6,7,113,68,FLO200006230
1,4,4,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,22,31,29,4,4,8,12,2,1,0,0,2,0,3,1,0,0,0,0,0,0,0,11,7,90,60,PIT200006280
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIL200006300
1,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,27,31,28,0,0,2,2,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,14,9,99,62,CHN200007030
1,4,4,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,27,35,32,2,2,5,12,1,0,2,0,1,0,12,0,0,1,0,0,0,0,0,9,5,106,74,CHN200007080
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,27,24,0,0,4,4,0,0,0,0,2,0,5,1,1,0,0,0,0,0,0,10,5,93,54,MIN200007140
1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,21,28,27,3,3,8,11,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,12,5,96,60,CHN200007190
1,3,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,18,30,28,5,5,11,14,3,0,0,0,1,0,4,0,0,0,1,0,0,0,0,5,9,90,59,PHI200007250
1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,27,30,29,1,1,4,8,1,0,1,0,1,0,8,2,0,0,0,0,0,0,0,11,6,99,68,CHN200007300
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15,27,25,8,8,10,21,3,1,2,0,2,0,4,0,0,0,0,0,0,0,0,6,5,79,48,SDN200008040
1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,24,29,28,4,4,5,13,0,1,2,0,0,0,8,1,1,0,0,0,0,0,0,8,7,98,61,LAN200008090
1,2,2,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,18,27,26,3,3,8,11,3,0,0,0,1,0,6,0,0,0,0,0,0,0,0,8,4,76,50,CHN200008140
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,21,16,9,9,10,14,1,0,1,0,2,0,2,0,1,1,1,0,0,0,0,1,4,63,38,ARI200008190
1,3,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,22,32,30,4,4,10,11,1,0,0,0,2,0,5,2,0,0,0,0,0,0,0,5,9,86,63,CHN200008251
1,3,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,24,31,27,1,1,4,7,1,1,0,0,2,0,7,0,1,1,0,0,0,0,0,10,6,99,63,CHN200008300
1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18,27,24,4,4,7,15,0,1,2,0,3,0,5,0,0,0,0,0,1,0,0,3,9,87,55,COL200009040
1,2,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,21,30,29,7,7,9,18,0,0,3,0,0,0,10,1,1,0,0,0,0,0,0,8,2,91,65,CHN200009100
1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,24,29,27,3,3,4,13,0,0,3,0,2,0,5,1,0,0,0,0,0,0,0,9,8,86,52,SLN200009150
1,4,4,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,25,32,31,2,2,7,13,0,0,2,0,1,0,6,1,0,0,0,0,0,0,0,5,13,77,50,MIL200009200
1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,30,28,4,4,10,11,1,0,0,0,2,1,5,2,0,0,0,0,0,0,0,11,2,115,69,CHN200009260
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,15,26,25,8,7,9,18,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,5,7,61,42,PIT200010010
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,34,33,3,2,8,11,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,10,9,78,56,CHA200106100
