B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,26,24,1,1,6,10,1,0,1,0,2,0,3,3,0,0,0,0,0,0,0,9,6,84,50,FLO200004070
1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,18,24,23,4,4,5,9,1,0,1,0,1,0,5,0,0,0,0,1,0,0,0,10,3,81,48,MIL200004130
1,4,4,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,21,29,26,3,3,8,11,1,1,0,0,2,0,6,2,1,0,0,0,0,0,0,4,7,100,59,FLO200004180
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,19,24,23,2,2,5,6,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,10,77,45,FLO200004230
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLO200004250
1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,19,30,23,4,4,7,7,0,0,0,0,5,0,2,0,0,2,0,0,0,0,0,9,5,95,49,LAN200004280
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,20,29,24,3,2,5,9,1,0,1,0,5,2,5,1,0,0,0,0,0,0,0,8,6,85,48,SDN200005030
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,19,10,6,6,3,6,0,0,1,1,7,0,2,0,2,0,0,1,1,0,0,2,3,71,32,FLO200005090
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,21,27,25,5,5,4,8,1,0,1,1,2,1,6,0,0,0,0,0,0,0,0,5,10,83,55,NYN200005140
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,17,15,4,4,6,10,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,4,3,62,36,FLO200005200
1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,16,21,16,2,1,0,0,0,0,0,0,4,0,4,0,0,0,1,0,0,0,0,5,7,73,39,CIN200005270
1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,11,21,19,6,6,8,16,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,5,4,76,46,FLO200006020
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,7,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,1,33,17,FLO200006070
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,11,11,1,1,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,37,24,PHI200006120
1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,18,27,24,3,1,6,9,1,1,0,0,3,0,7,1,0,0,0,1,0,0,0,4,5,89,51,PIT200006180
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,18,28,23,1,1,7,10,0,0,1,0,4,0,4,1,0,1,0,0,0,0,0,7,5,100,58,FLO200006230
1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,17,28,23,5,3,8,11,3,0,0,0,5,1,5,1,0,0,0,0,0,0,0,6,4,107,61,NYN200006280
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,21,13,5,5,3,6,0,0,1,0,6,0,1,0,1,1,0,0,0,0,0,2,7,79,38,FLO200007040
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,8,3,3,3,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,1,22,14,FLO200007090
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,24,20,3,3,6,9,3,0,0,0,3,0,4,0,0,0,1,1,0,0,0,5,6,93,49,NYA200007130
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,23,29,29,1,1,7,13,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,12,9,75,52,FLO200009080
1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,24,23,1,1,4,8,1,0,1,0,0,0,6,0,0,1,0,0,0,0,0,8,4,98,69,PHI200009160
1,4,4,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,21,29,25,4,4,6,11,2,0,1,0,3,0,4,1,1,0,0,0,0,0,0,10,5,97,59,COL200009220
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,15,23,22,3,3,7,10,3,0,0,0,1,0,6,0,0,0,0,0,0,0,0,4,4,71,42,FLO200009280
