B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,24,30,27,1,0,4,4,0,0,0,0,2,0,4,2,0,1,0,0,0,0,0,12,6,80,54,CHN200003300
1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,28,27,1,1,4,8,1,0,1,0,1,0,7,0,0,0,0,0,0,0,0,10,6,99,73,NYN200004070
1,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,21,27,25,1,1,4,9,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,13,51,32,PHI200004130
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,21,27,26,1,1,7,11,1,0,1,0,1,0,6,1,0,0,0,0,0,0,0,6,7,68,49,NYN200004190
1,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,21,30,29,6,6,10,22,1,1,3,0,1,0,4,3,0,0,0,1,0,0,0,11,3,81,55,COL200004290
1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,22,27,26,4,4,5,7,2,0,0,0,1,0,4,1,0,0,0,0,0,0,0,12,5,93,59,SFN200005040
1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,15,25,25,6,6,10,20,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,7,7,52,34,PIT200005100
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,27,27,3,2,6,7,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,3,92,66,NYN200005160
1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,21,30,29,5,5,8,11,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,11,7,86,60,NYN200005210
1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,9,18,15,5,5,7,11,1,0,1,0,3,0,2,1,0,0,0,0,1,0,0,2,4,61,39,SLN200005270
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,22,21,3,3,8,13,2,0,1,0,0,0,3,1,0,0,1,0,0,0,0,5,5,86,62,NYN200006070
1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,20,29,27,3,3,9,11,2,0,0,0,0,0,3,0,0,1,1,1,0,0,0,7,9,73,53,CHN200006130
1,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,21,29,27,3,3,7,15,3,1,1,0,1,0,2,1,1,0,0,0,0,0,0,8,10,71,44,MIL200006180
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,17,17,4,4,9,16,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,5,2,65,43,NYN200006240
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,14,12,4,4,5,10,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,5,1,58,35,NYN200006290
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,25,20,5,4,5,12,1,0,2,0,5,1,3,0,0,0,0,0,0,0,0,8,4,91,45,TOR200007170
1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,21,24,23,0,0,4,4,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,7,5,77,52,ATL200007220
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18,26,24,3,3,6,13,1,0,2,0,2,1,5,0,0,0,0,0,0,0,0,8,5,85,53,NYN200007290
1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,23,29,29,1,1,6,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,11,74,52,ARI200008040
1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,21,30,28,4,3,8,15,1,0,2,0,0,0,4,0,1,0,1,0,0,0,0,3,14,63,41,HOU200008090
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,28,24,5,5,8,9,1,0,0,0,2,0,5,1,1,0,1,0,0,0,0,6,6,84,57,NYN200008140
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,21,29,28,3,3,7,13,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,11,6,83,60,LAN200008190
1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,21,28,27,3,2,5,9,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,8,9,93,69,NYN200008250
1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,21,25,23,0,0,3,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,6,8,90,51,NYN200008300
