B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,28,26,1,1,6,7,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,12,7,69,38,TEX200004030
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,31,30,4,3,9,14,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,12,6,99,61,TEX200004080
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,34,31,5,5,8,10,0,1,0,0,3,0,4,1,0,0,0,0,0,0,0,12,6,121,75,NYA200004130
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,32,28,6,6,9,18,3,0,2,0,3,0,1,1,1,0,0,0,0,0,0,11,7,90,48,TEX200004180
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,29,26,2,2,6,10,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,9,9,79,45,TEX200004240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,32,30,4,4,9,13,4,0,0,0,2,0,3,1,0,0,0,0,0,0,0,10,8,91,53,BAL200004300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,32,31,8,6,12,18,3,0,1,0,1,0,3,0,0,0,0,0,0,0,0,9,6,103,58,TEX200005060
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,32,30,3,3,10,17,1,0,2,0,1,1,4,1,0,1,0,0,0,0,0,7,8,91,57,ANA200005110
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,28,25,3,1,7,10,1,1,0,0,1,0,2,0,1,1,0,0,1,0,0,7,8,66,47,KCA200005240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,30,30,2,2,9,11,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,7,90,55,DET200005290
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,23,20,2,2,4,6,2,0,0,0,2,0,6,1,1,0,0,0,0,0,0,5,5,72,40,TEX200006030
