B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,29,25,0,0,4,6,2,0,0,0,4,0,5,0,0,0,0,0,0,0,0,7,9,92,54,TEX200008160
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,27,23,9,3,9,13,1,0,1,0,4,0,6,0,0,0,0,1,0,0,0,1,6,87,48,NYA200008210
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,32,27,5,4,10,16,3,0,1,0,4,1,2,0,0,0,1,0,0,0,0,4,11,86,48,TEX200008260
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,27,24,4,4,9,16,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,1,10,84,53,TEX200008310
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,18,17,5,5,4,10,0,0,2,0,1,0,5,0,0,0,0,0,0,1,0,3,5,73,50,CHA200009060
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,23,20,4,4,5,11,0,0,2,0,3,0,6,0,0,0,0,0,0,0,0,6,3,90,56,TEX200009160
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,11,7,TEX200009240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,5,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,2,24,14,SEA200009260
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,5,3,OAK200009290
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,18,14,4,4,4,11,1,0,2,0,4,0,2,0,0,0,0,0,0,3,3,1,7,55,27,OAK200009300
