B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,P_G,P_GS,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,game.key
1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,15,24,21,6,6,7,14,1,0,2,0,2,0,5,0,1,0,0,1,0,0,0,5,4,96,55,HOU200007070
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,28,24,5,5,7,15,2,0,2,0,3,0,7,0,0,0,1,0,0,0,0,4,7,88,50,KCA200007130
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,31,28,4,4,8,11,0,0,1,0,2,0,5,1,0,0,1,1,0,0,0,9,7,90,54,KCA200007180
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,27,23,4,4,6,10,1,0,1,0,4,0,6,0,0,0,0,2,0,0,0,6,5,100,63,DET200007230
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,28,24,6,5,6,9,0,0,1,0,4,0,5,1,0,0,0,0,0,0,0,5,6,87,53,KCA200007280
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,31,23,1,1,2,2,0,0,0,0,6,0,5,1,1,0,1,0,0,0,0,4,13,92,45,NYA200008020
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,29,26,4,4,9,17,2,0,2,0,3,0,4,3,0,0,0,0,0,0,0,10,3,103,57,KCA200008070
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,16,12,8,8,5,9,1,0,1,0,4,1,3,0,0,0,0,2,0,0,0,2,2,76,45,KCA200008120
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,32,32,1,1,8,9,1,0,0,0,0,0,6,2,0,0,0,1,0,0,0,6,12,91,59,BAL200008180
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,30,24,3,3,6,10,1,0,1,0,5,0,4,0,1,0,0,0,0,0,0,4,10,96,54,TOR200008230
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,25,23,3,3,5,11,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,5,11,64,32,KCA200008290
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,27,21,1,1,4,5,1,0,0,0,5,0,5,1,0,0,1,0,0,0,0,4,8,89,51,TBA200009030
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,22,20,5,5,8,15,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,2,8,63,38,KCA200009080
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,34,28,1,1,5,8,0,0,1,0,4,0,5,0,0,2,0,0,0,0,0,7,11,111,65,SEA200009130
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,29,25,1,1,3,6,0,0,1,0,4,0,8,1,0,0,0,0,0,0,0,6,8,107,64,KCA200009190
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,28,24,0,0,4,5,1,0,0,0,3,0,2,1,0,1,0,0,0,0,0,6,10,77,47,KCA200009240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,23,19,4,4,5,12,1,0,2,0,4,0,4,0,0,0,0,0,0,0,0,5,5,87,50,CHA200009300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,24,21,4,4,8,14,0,0,2,0,3,0,4,1,0,0,0,0,0,0,0,6,3,84,49,BOS200104270
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,17,15,2,2,4,7,0,0,1,0,1,0,4,1,1,0,0,0,0,0,0,4,3,49,31,CHA200108010
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,7,1,1,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,5,12,9,CHA200109210
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,CHA200109220
